Device,Level,Date,Score,Sensitivity,Speed
Mouse and Keyboard,Object Interaction,10/11/2014 15:15:07,25,10,0
Mouse and Keyboard,Object Interaction,10/11/2014 15:10:03,25,10,0
Mouse and Keyboard,Way Finding,10/11/2014 15:09:33,67,10,5
Mouse and Keyboard,Object Avoidance,10/11/2014 15:08:18,46,10,5
Mouse and Keyboard,Object Interaction,6/11/2014 16:50:06,30,5,0
Mouse and Keyboard,Object Interaction,6/11/2014 16:45:53,33,5,0
Mouse and Keyboard,Object Interaction,6/11/2014 16:43:54,39,5,0
Mouse and Keyboard,Object Interaction,6/11/2014 16:34:23,28,5,0
